size,disp,std,centroid_std,som_size,unused_som
500,1.5,0.43045431,0.212477503,4,0
500,1.5,0.434041867,0.208741582,5,0
500,1.5,0.428414273,0.210318772,6,0
500,1.5,0.432431516,0.211175547,7,0
500,1.5,0.422313908,0.211484039,8,0
500,1.5,0.429133347,0.21141164,9,0
500,1.5,0.434982221,0.202753337,10,0
500,1.5,0.439582147,0.195969408,11,0.826446281
500,1.5,0.433364437,0.214622783,12,2.083333333
500,1.5,0.441190864,0.200188124,13,4.733727811
500,1.5,0.423359847,0.209197692,14,4.081632653
500,1.5,0.432091215,0.207993067,15,8
500,1.5,0.431762766,0.215297644,16,7.8125
500,1.5,0.443018421,0.205328145,17,12.4567474
500,1.5,0.431937225,0.193712903,18,14.81481481
500,1.5,0.437182372,0.207782462,19,20.49861496
500,1.5,0.428910506,0.20375422,20,23
500,1.5,0.42276674,0.20853384,21,26.75736961
500,1.5,0.438795216,0.203325175,22,29.1322314
500,1.5,0.425148035,0.221788099,23,33.64839319
500,1.5,0.434285557,0.203760581,24,34.89583333
500,1.5,0.427908239,0.208472885,25,40.16
500,1.5,0.429659651,0.218782512,26,42.15976331
500,1.5,0.435517523,0.215239559,27,46.77640604
500,1.5,0.434156112,0.209315124,28,47.83163265
500,2,0.576664436,0.297817114,3,0
500,2,0.585096798,0.278752844,4,0
500,2,0.577562896,0.281729327,5,0
500,2,0.5793378,0.271591044,6,0
500,2,0.567711991,0.273631423,7,0
500,2,0.571122604,0.277697232,8,0
500,2,0.583245463,0.29009634,9,0
500,2,0.56930681,0.276981307,10,1
500,2,0.583285219,0.292095539,11,2.479338843
500,2,0.582560762,0.280946238,12,4.166666667
500,2,0.56647487,0.278167962,13,4.142011834
500,2,0.57398256,0.266794252,14,3.571428571
500,2,0.571850488,0.286658979,15,4.888888889
500,2,0.573821828,0.29056171,16,12.109375
500,2,0.578263641,0.279060961,17,15.22491349
500,2,0.584870529,0.287374205,18,16.04938272
500,2,0.57499118,0.264730859,19,20.22160665
500,2,0.576190193,0.268180267,20,23.5
500,2,0.582317299,0.271775278,21,26.30385488
500,2,0.573332534,0.279060297,22,32.43801653
500,2,0.56445938,0.286584016,23,35.16068053
500,2,0.585772424,0.273759888,24,36.28472222
500,2,0.580157002,0.28838511,25,39.52
500,2,0.569670843,0.273510402,26,40.97633136
500,2,0.574684207,0.267823774,27,43.8957476
500,2,0.580051022,0.282007313,28,48.08673469
500,3,0.870078327,0.415565816,3,0
500,3,0.859095693,0.42941242,4,0
500,3,0.871155211,0.437618783,5,0
500,3,0.869414392,0.43299472,6,0
500,3,0.854265001,0.427039192,7,0
500,3,0.8744524,0.424972688,8,0
500,3,0.874733779,0.427625484,9,0
500,3,0.868458744,0.411358951,10,0
500,3,0.851672672,0.423652107,11,0.826446281
500,3,0.848695412,0.423107599,12,1.388888889
500,3,0.86732081,0.406279636,13,0.591715976
500,3,0.856729678,0.408144033,14,3.571428571
500,3,0.883766938,0.387125676,15,9.333333333
500,3,0.866255392,0.413304055,16,7.8125
500,3,0.862021792,0.401626233,17,12.11072664
500,3,0.865591089,0.404704263,18,14.81481481
500,3,0.859308539,0.416535939,19,19.94459834
500,3,0.868787375,0.401425877,20,22.75
500,3,0.876096798,0.416390134,21,24.94331066
500,3,0.857923891,0.416531571,22,28.30578512
500,3,0.858806808,0.427514693,23,30.43478261
500,3,0.86254736,0.409285964,24,38.88888889
500,3,0.860041074,0.448814783,25,39.68
500,3,0.870090341,0.434789891,26,42.30769231
500,3,0.873195639,0.411141983,27,45.1303155
500,3,0.873037081,0.402889391,28,46.93877551
500,4,1.143331448,0.546703247,3,0
500,4,1.147597072,0.575184971,4,0
500,4,1.144385784,0.558795801,5,0
500,4,1.162904035,0.548020215,6,0
500,4,1.127966696,0.539286045,7,0
500,4,1.156710091,0.576097874,8,0
500,4,1.145067236,0.561393785,9,0
500,4,1.147177187,0.580911143,10,0
500,4,1.140004388,0.567296238,11,0
500,4,1.166178443,0.568728779,12,1.388888889
500,4,1.126827142,0.548561172,13,1.183431953
500,4,1.159572529,0.549335769,14,4.081632653
500,4,1.163726023,0.552164032,15,5.777777778
500,4,1.150763999,0.518609949,16,13.28125
500,4,1.137645009,0.541823123,17,13.49480969
500,4,1.157228405,0.56330167,18,16.97530864
500,4,1.171263547,0.544347663,19,19.39058172
500,4,1.15742012,0.541322265,20,23.5
500,4,1.136120206,0.573091947,21,26.75736961
500,4,1.14967362,0.546978775,22,32.85123967
500,4,1.141638223,0.534854577,23,30.62381853
500,4,1.160951208,0.527568157,24,36.45833333
500,4,1.150526014,0.552597593,25,39.2
500,4,1.159974621,0.570313014,26,41.12426036
500,4,1.135609707,0.55719322,27,45.81618656
500,4,1.167285845,0.542112734,28,47.83163265
1000,0.25,0.071301826,0.035130127,3,0
1000,0.25,0.072770539,0.035301606,4,0
1000,0.25,0.071960119,0.034762282,5,0
1000,0.25,0.072033403,0.03378273,6,0
1000,0.25,0.071406437,0.036091829,7,0
1000,0.25,0.07323995,0.033167394,8,0
1000,0.25,0.072451711,0.034245006,9,0
1000,0.25,0.071974855,0.034552296,10,0
1000,0.25,0.071487745,0.034061019,11,0
1000,0.25,0.071671661,0.035209284,12,0
1000,0.25,0.072722139,0.034575555,13,0
1000,0.25,0.072158043,0.033824228,14,0
1000,0.25,0.072490288,0.034212287,15,0
1000,0.25,0.072286255,0.034897857,16,1.5625
1000,0.25,0.072076178,0.03500348,17,1.730103806
1000,0.25,0.071581651,0.034779111,18,2.777777778
1000,0.25,0.072854086,0.03489018,19,3.878116343
1000,0.25,0.071560671,0.035415933,20,6.5
1000,0.25,0.071993163,0.034651307,21,5.442176871
1000,0.25,0.071669518,0.034804053,22,10.53719008
1000,0.25,0.071820616,0.032992685,23,13.42155009
1000,0.25,0.072199028,0.033690326,24,13.71527778
1000,0.25,0.072257408,0.034065387,25,16.96
1000,0.25,0.07141174,0.035242365,26,18.78698225
